"source","Time","Var","Value","EPU"
"ROMS",1979,"extent_index",90.1911764705883,"MAB"
"ROMS",1979,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1980,"cold_pool_index",-1.35627491734251,"MAB"
"ROMS",1980,"se_cold_pool_index",0.0452130080570611,"MAB"
"ROMS",1980,"persistence_index",0.30961701927614,"MAB"
"ROMS",1980,"se_persistence_index",0.0154707635996919,"MAB"
"ROMS",1980,"extent_index",84.1911764705883,"MAB"
"ROMS",1980,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1981,"cold_pool_index",-0.970741664705291,"MAB"
"ROMS",1981,"se_cold_pool_index",0.0408947812028246,"MAB"
"ROMS",1981,"persistence_index",0.114140444154977,"MAB"
"ROMS",1981,"se_persistence_index",0.0196750310858553,"MAB"
"ROMS",1981,"extent_index",75.1911764705883,"MAB"
"ROMS",1981,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1982,"cold_pool_index",-0.876161069018418,"MAB"
"ROMS",1982,"se_cold_pool_index",0.0456162220076171,"MAB"
"ROMS",1982,"persistence_index",0.010747875495849,"MAB"
"ROMS",1982,"se_persistence_index",0.0211107608983107,"MAB"
"ROMS",1982,"extent_index",72.1911764705883,"MAB"
"ROMS",1982,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1983,"cold_pool_index",-0.0989973260072118,"MAB"
"ROMS",1983,"se_cold_pool_index",0.0286861766619087,"MAB"
"ROMS",1983,"persistence_index",-0.426773270792256,"MAB"
"ROMS",1983,"se_persistence_index",0.0276116016069554,"MAB"
"ROMS",1983,"extent_index",44.1911764705883,"MAB"
"ROMS",1983,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1984,"cold_pool_index",-1.5188152700697,"MAB"
"ROMS",1984,"se_cold_pool_index",0.0385931897265245,"MAB"
"ROMS",1984,"persistence_index",0.435626712329452,"MAB"
"ROMS",1984,"se_persistence_index",0.0161119325769071,"MAB"
"ROMS",1984,"extent_index",90.1911764705883,"MAB"
"ROMS",1984,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1985,"cold_pool_index",0.333592291991539,"MAB"
"ROMS",1985,"se_cold_pool_index",0.0391957817417982,"MAB"
"ROMS",1985,"persistence_index",-0.355744266892714,"MAB"
"ROMS",1985,"se_persistence_index",0.0178378282331902,"MAB"
"ROMS",1985,"extent_index",35.1911764705883,"MAB"
"ROMS",1985,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1986,"cold_pool_index",1.25211523476998,"MAB"
"ROMS",1986,"se_cold_pool_index",0.0334434502700898,"MAB"
"ROMS",1986,"persistence_index",-0.781142686911314,"MAB"
"ROMS",1986,"se_persistence_index",0.0304417382357109,"MAB"
"ROMS",1986,"extent_index",-95.8088235294117,"MAB"
"ROMS",1986,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1987,"cold_pool_index",-0.800490660030997,"MAB"
"ROMS",1987,"se_cold_pool_index",0.052922567703763,"MAB"
"ROMS",1987,"persistence_index",-0.163727084116429,"MAB"
"ROMS",1987,"se_persistence_index",0.0245060996940303,"MAB"
"ROMS",1987,"extent_index",83.1911764705883,"MAB"
"ROMS",1987,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1988,"cold_pool_index",-0.858113939094735,"MAB"
"ROMS",1988,"se_cold_pool_index",0.0330931284220872,"MAB"
"ROMS",1988,"persistence_index",0.0617037782070073,"MAB"
"ROMS",1988,"se_persistence_index",0.0186789787738214,"MAB"
"ROMS",1988,"extent_index",87.1911764705883,"MAB"
"ROMS",1988,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1989,"cold_pool_index",-0.366136409997591,"MAB"
"ROMS",1989,"se_cold_pool_index",0.0358789269705223,"MAB"
"ROMS",1989,"persistence_index",-0.0284111954046985,"MAB"
"ROMS",1989,"se_persistence_index",0.0174766207914696,"MAB"
"ROMS",1989,"extent_index",77.1911764705883,"MAB"
"ROMS",1989,"se_extent_index",1.78099421967936,"MAB"
"ROMS",1990,"cold_pool_index",0.684882769131158,"MAB"
"ROMS",1990,"se_cold_pool_index",0.0374574200935443,"MAB"
"ROMS",1990,"persistence_index",-0.494085803131329,"MAB"
"ROMS",1990,"se_persistence_index",0.0254877782083921,"MAB"
